,Country,City,lk,cj
0,Albania,Tirana,0,0
1,Austria,Vienna,0,101
2,Belarus,Minsk,0,12
3,Belgium,Brussels,0,77
4,Bosnia and Herzegovina,Sarajevo,0,0
5,Bulgaria,Sofia,0,5
6,Croatia,Zagreb,0,0
7,Cyprus,Nicosia,0,0
8,Czech Republic,Prague,0,44
9,Denmark,Copenhagen,0,29
10,Estonia,Tallinn,0,0
11,Finland,Helsinki,0,39
12,Finland,Kuopio,0,0
13,Finland,Oulu,0,7
14,France,Marseille,0,7
15,France,Paris,0,327
16,Germany,Berlin,0,219
17,Germany,Frankfurt,0,95
18,Greece,Athens,0,16
19,Greece,Piraeus,0,0
20,Hungary,Budapest,0,30
21,Iceland,Reykjavík,0,0
22,Ireland,Dublin,0,92
23,Italy,Milan,0,106
24,Italy,Rome,0,42
25,Latvia,Riga,0,4
26,Liechtenstein,Vaduz,0,0
27,Lithuania,Vilnius,0,7
28,Luxembourg,Luxembourg City,0,17
29,Macedonia,Skopje,0,0
30,Malta,Valletta,0,0
31,Moldova,Chișinău,0,0
32,Monaco,Monaco,0,0
33,Montenegro,Podgorica,0,0
34,Netherlands,Amsterdam,0,201
35,Norway,Bergen,0,6
36,Norway,Oslo,0,33
37,Norway,Tromsø,0,2
38,Poland,Warsaw,0,107
39,Portugal,Lisbon,0,29
40,Romania,Bucharest,0,58
41,Russia,Arkhangelsk,0,0
42,Russia,Moscow,0,347
43,Russia,Murmansk,0,0
44,Russia,Rostov-on-Don,0,4
45,Russia,Saint Petersburg,0,67
46,Russia,Sochi,0,4
47,Serbia,Belgrade,0,0
48,Slovakia,Bratislava,0,13
49,Slovenia,Ljubljana,0,0
50,Spain,Barcelona,0,40
51,Spain,Las Palmas de Gran Canaria,0,0
52,Spain,Madrid,0,63
53,Spain,Seville,0,0
54,Sweden,Stockholm,0,85
55,Switzerland,Zürich,0,52
56,Turkey,Istanbul,0,18
57,Ukraine,Kiev,0,34
58,Ukraine,Lviv,0,3
59,Ukraine,Odessa,0,0
60,United Kingdom,Edinburgh,0,41
61,United Kingdom,London,0,957
