,Country,City,lat,lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,job_index
0,Austria,Vienna,48.2083537,16.372504199999998,0.3,1.5,5.7,10.7,15.7,18.7,20.8,20.2,15.4,10.2,5.1,1.1,10.4,0.02936046511627907
1,Belarus,Minsk,53.8892876,28.0341956,−4.5,−4.4,0.0,7.2,13.3,16.4,18.5,17.5,12.1,6.6,0.6,−3.4,6.7,0.0034883720930232558
2,Belgium,Brussels,50.8436709,4.36743669338796,3.3,3.7,6.8,9.8,13.6,16.2,18.4,18.0,14.9,11.1,6.8,3.9,10.5,0.022383720930232557
3,Bulgaria,Sofia,42.697863399999996,23.322178899999997,−0.5,1.1,5.4,10.6,15.4,18.9,21.2,21.0,16.5,11.3,5.1,0.7,10.6,0.0014534883720930232
4,Czech Republic,Prague,50.0874654,14.4212535,−1.4,−0.4,3.6,8.4,13.4,16.1,18.2,17.8,13.5,8.5,3.1,−0.3,8.4,0.012790697674418604
5,Denmark,Copenhagen,55.6867243,12.5700724,1.4,1.4,3.5,7.7,12.5,15.6,18.1,17.7,13.9,9.8,5.5,2.5,9.1,0.008430232558139536
6,Finland,Helsinki,60.1674098,24.9425769,−3.9,−4.7,−1.3,3.9,10.2,14.6,17.8,16.3,11.5,6.6,1.6,−2.0,5.9,0.011337209302325582
7,Finland,Oulu,65.0118734,25.4716809,−9.6,−9.3,−4.8,1.4,7.8,13.5,16.5,14.1,8.9,3.3,−2.8,−7.1,2.7,0.0020348837209302325
8,France,Marseille,43.2961743,5.3699525,8.4,8.9,11.6,13.8,17.9,21.3,24.5,24.1,20.7,16.9,11.8,9.3,15.8,0.0020348837209302325
9,France,Paris,48.856696899999996,2.3514616000000004,4.9,5.6,8.8,11.4,15.1,18.2,20.4,20.2,16.9,12.9,8.1,5.4,12.3,0.09505813953488372
10,Germany,Berlin,52.517036499999996,13.388859900000002,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6.0,1.3,10.3,0.06366279069767442
11,Germany,Frankfurt,50.1106444,8.682091699999999,1,2,6,8,13.0,16.0,18.0,18.0,15.0,10.0,5,2,10.0,0.027616279069767442
12,Greece,Athens,37.9841493,23.7279843,10.2,10.9,13.2,16.9,21.8,26.6,29.3,29.3,25.0,20.1,15.5,11.5,19.2,0.004651162790697674
13,Hungary,Budapest,47.4983815,19.0404707,0.4,2.3,6.1,12.0,16.6,19.7,21.5,21.2,16.9,11.8,5.4,1.8,11.3,0.00872093023255814
14,Ireland,Dublin,53.3497645,-6.2602732,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.8,0.026744186046511628
15,Italy,Milan,45.4668,9.1905,2.5,4.7,9.0,12.2,17.0,20.8,23.6,23.0,19.2,13.4,7.2,3.3,13.0,0.030813953488372094
16,Italy,Rome,41.8933203,12.4829321,7.5,8.2,10.2,12.6,17.2,21.1,24.1,24.5,20.8,16.4,11.4,8.4,15.2,0.012209302325581395
17,Latvia,Riga,56.949397700000006,24.1051846,−4.7,−4.2,0.5,5.1,11.4,15.5,16.9,16.2,12.0,7.4,2.1,−2.3,6.2,0.0011627906976744186
18,Lithuania,Vilnius,54.6870458,25.2829111,−6.1,−4.8,−0.6,5.7,12.5,15.8,16.9,16.3,11.6,6.6,1.2,−2.9,6.0,0.0020348837209302325
19,Luxembourg,Luxembourg City,49.6112768,6.129799,0.8,1.6,5.2,8.7,13.0,15.9,18.2,17.7,13.9,9.5,4.7,1.8,9.3,0.004941860465116279
20,Netherlands,Amsterdam,52.3745403,4.89797550561798,3.4,3.5,6.1,9.1,12.9,15.4,17.6,17.5,14.7,11.0,7.1,4.0,10.2,0.05843023255813953
21,Norway,Bergen,60.39430550000001,5.3259192,1.5,1.6,3.3,5.9,10.5,13.5,14.5,14.4,11.5,8.7,4.7,2.6,7.7,0.0017441860465116279
22,Norway,Oslo,59.913330099999996,10.7389701,−4.3,−4.0,−0.2,4.5,10.8,15.2,16.4,15.2,10.8,6.3,0.7,−3.1,5.7,0.009593023255813954
23,Norway,Tromsø,69.64929690000001,18.9548489,−3.8,−3.7,−2.3,0.7,5.1,9.2,11.8,10.9,6.9,3.2,−0.6,−2.7,2.9,0.0005813953488372093
24,Poland,Warsaw,52.2319581,21.0067249,−1.8,−0.6,2.8,8.7,14.2,17.0,19.2,18.3,13.5,8.5,3.3,−0.7,8.5,0.031104651162790698
25,Portugal,Lisbon,38.707750700000005,-9.1365919,11.6,12.7,14.9,15.9,18.0,21.2,23.1,23.5,22.1,18.8,15.0,12.4,17.5,0.008430232558139536
26,Romania,Bucharest,44.4361414,26.1027202,−1.3,0.4,5.4,11.2,16.8,20.6,22.5,22.0,16.9,11.0,4.7,0.2,10.8,0.01686046511627907
27,Russia,Moscow,55.7504461,37.6174943,−6.5,−6.7,−1.0,6.7,13.2,17.0,19.2,17.0,11.3,5.6,−1.2,−5.2,5.8,0.10087209302325581
28,Russia,Rostov-on-Don,47.22138579999999,39.7114196,−3.0,−2.8,2.4,10.6,16.6,21.0,23.4,22.6,16.7,10.0,2.9,−1.6,9.9,0.0011627906976744186
29,Russia,Saint Petersburg,59.938731999999995,30.316228999999996,−5.5,−5.8,−1.3,5.1,11.3,15.7,18.8,16.9,11.6,6.2,0.1,−3.7,5.8,0.019476744186046512
30,Russia,Sochi,43.585482299999995,39.723109,6.1,6.0,8.2,12.1,16.0,20.2,23.2,23.6,20.0,15.8,11.1,8.1,14.2,0.0011627906976744186
31,Slovakia,Bratislava,48.1516988,17.1093063,−0.4,1.2,5.5,11.0,16.0,19.1,21.3,20.7,15.9,10.4,4.9,0.7,10.5,0.0037790697674418604
32,Spain,Barcelona,41.3828939,2.1774322,11.8,12.4,14.2,15.8,19.3,23.0,25.7,26.1,23.0,19.5,14.9,12.3,18.2,0.011627906976744186
33,Spain,Madrid,40.416704700000004,-3.7035824999999996,6.3,7.9,11.2,12.9,16.7,22.2,25.6,25.1,20.9,15.1,9.9,6.9,15.0,0.018313953488372094
34,Sweden,Stockholm,59.3251172,18.0710935,−2.8,−3.0,0.1,4.6,10.7,15.6,17.2,16.2,11.9,7.5,2.6,−1.0,6.6,0.024709302325581394
35,Switzerland,Zürich,47.3723941,8.5423328,0.3,1.3,5.3,8.8,13.3,16.4,18.6,18.0,14.1,9.9,4.4,1.4,9.3,0.015116279069767442
36,Turkey,Istanbul,41.0096334,28.9651646,5.7,5.7,7.0,11.1,15.7,20.4,22.9,23.1,19.8,15.6,11.5,8.0,13.9,0.005232558139534884
37,Ukraine,Kiev,50.4500336,30.524136100000003,−3.5,−3.0,1.8,9.3,15.5,18.5,20.5,19.7,14.2,8.4,1.9,−2.3,8.4,0.009883720930232558
38,Ukraine,Lviv,49.841952,24.0315921,−3.1,−2.2,1.9,8.3,13.8,16.4,18.3,17.7,13.0,8.1,2.6,−1.8,7.8,0.0008720930232558139
39,United Kingdom,Edinburgh,55.9533456,-3.1883749,4.2,4.5,6.2,8.1,10.8,13.5,15.3,15.2,13.0,9.8,6.7,4.2,9.3,0.011918604651162791
40,United Kingdom,London,51.5073219,-0.1276474,4.3,4.5,6.9,8.7,12.1,15.1,17.3,17.0,14.3,10.9,7.2,4.7,10.3,0.27819767441860466
